cor;time;raccoons_bought
55.771393 37.567392;442303138;2
55.705458 37.550926;442365718;0
55.83028 37.404815;442244596;0
55.799092 37.452157;442327511;148
55.749785 37.763962;442248573;1
55.798212 37.529313;442355980;100
55.763579 37.623798;442076325;4
55.655097 37.533652;441980427;0
55.754 37.669288;442229555;3
55.652781 37.53367;442065331;4
55.824309 37.429303;441906629;5
55.732996 37.698654;442066138;3
55.769347 37.567509;442317124;0
55.65849 37.606092;441823832;5
55.675093 37.569342;442152973;2
55.766238 37.651951;442225888;4
55.663365 37.562021;441874640;0
55.836833 37.551959;442026740;4
55.704666 37.568129;442029198;5
55.704874 37.585359;441930916;2
55.785665 37.629053;442032691;2
55.64824 37.668399;442042976;5
55.753311 37.580661;441786153;3
55.657499 37.645214;442239468;1
55.819732 37.52863;442157135;3
55.755023 37.644639;442119533;3
55.654762 37.639195;442322797;0
55.752095 37.66512;442242089;3
55.699634 37.570339;441975324;0
55.871203 37.51953;442170393;1
55.718851 37.779835;441917506;4
55.800215 37.53879;442292986;4
55.767904 37.580858;442209188;3
55.699497 37.581855;442323710;2
55.763386 37.554636;441945432;3
55.694769 37.564383;442251805;84
55.891724 37.552579;441961913;4
55.728145 37.452085;441948168;2
55.71057 37.577561;442341422;5
55.782405 37.695636;442079115;5
55.786075 37.614626;442206621;1
55.867738 37.441116;442316031;1
55.812676 37.518003;442041151;207
55.73256 37.567401;442106971;5
55.855558 37.408705;442235383;1
55.754704 37.713342;441968536;3
55.681767 37.516575;441799123;2
55.652908 37.642474;442278069;3
55.757597 37.608356;442020514;1
55.718846 37.597405;442064706;0
55.861312 37.626322;442031930;0
55.785392 37.628747;441820546;5
55.69764 37.570977;442139906;0
55.803631 37.552894;441789105;2
55.77236 37.587173;442080279;2
55.677844 37.58597;442359531;0
55.763705 37.580589;442296626;190
55.721305 37.770978;441891678;3
55.801364 37.477085;442186122;5
55.673148 37.568982;442028984;4
55.763705 37.580589;441978069;2
55.80145 37.461427;441991615;5
55.670153 37.582987;442065892;0
55.758311 37.608167;441831856;2
55.662136 37.547046;442090889;4
55.692044 37.555247;442367974;5
55.853976 37.569351;442072610;3
55.718851 37.779835;442254874;0
55.657499 37.645214;442122793;3
55.675514 37.644648;441963192;2
55.75553 37.589859;441855828;3
55.645563 37.506828;442243364;3
55.673818 37.598106;441910857;4
55.731506 37.574848;442322659;2
55.670153 37.582987;442053731;2
55.723197 37.622747;442235235;4
55.779059 37.736932;441859880;4
55.745199 37.645133;441873709;3
55.695641 37.560161;442008399;0
55.802133 37.486427;442138379;1
55.687299 37.551879;441880649;1
55.681767 37.516575;442255192;3
55.762227 37.590937;442031922;12
55.750261 37.605607;441818085;3
55.801364 37.477085;441808540;5
55.815848 37.527606;442293746;42
55.818291 37.708895;442072908;1
55.856851 37.506352;441944577;4
55.743634 37.610107;441802630;4
55.721508 37.775811;442147110;3
55.749785 37.763962;442252792;1
55.69764 37.570977;442268923;3
55.745007 37.664437;442315275;4
55.747601 37.590246;442051600;2
55.804 37.555885;441967303;1
55.685061 37.552516;442086510;0
55.7931 37.462873;442126358;3
55.720697 37.672549;442152482;4
55.830624 37.677185;441846700;3
55.675961 37.571255;441843857;5
55.720697 37.672549;442035541;1
55.798384 37.580589;441774579;0
55.711655 37.581496;441890845;72
55.667792 37.442024;442039957;4
55.711534 37.589823;441982024;4
55.815306 37.512622;441960926;1
55.69449 37.567096;441963528;3
55.681767 37.516575;442183092;1
55.769919 37.690507;441880248;3
55.664324 37.488062;442159499;5
55.756016 37.536571;441781256;0
55.674174 37.588548;441845538;3
55.673148 37.568982;442171109;1
55.84302 37.524273;442069096;3
55.613346 37.612587;442270123;4
55.75517 37.715444;442319222;3
55.802513 37.460619;441840660;0
55.825532 37.503405;441820768;156
55.792635 37.462469;441947336;0
55.753443 37.636284;442288844;1
55.782658 37.584101;442255659;3
55.765458 37.796517;442186220;0
55.802528 37.463907;441785160;3
55.70386 37.524758;442360533;1
55.673818 37.598106;442198447;2
55.753575 37.605553;442213461;5
55.795352 37.785099;441889649;5
55.712071 37.592321;441976994;2
55.786764 37.653819;442162472;3
55.771591 37.692213;441873723;3
55.77711 37.51962;442353079;4
55.692044 37.555247;442174771;5
55.802148 37.482088;442009511;1
55.732996 37.698654;441828577;95
55.753443 37.636284;441889016;1
55.842514 37.486903;441810345;0
55.664289 37.492904;442240699;1
55.720697 37.672549;442044999;3
55.763711 37.553855;442335649;0
55.699634 37.570339;442304457;1
55.679433 37.566952;442040617;4
55.721539 37.672118;441893988;1
55.78649 37.628694;441906126;3
55.86352 37.539464;442002160;4
55.80655 37.504708;441816586;3
55.753443 37.636284;441918671;2
55.777803 37.669693;442162846;4
55.748599 37.661266;442194632;0
55.786733 37.626026;442125088;1
55.761852 37.709713;442154979;2
55.763579 37.623798;441944146;2
55.686848 37.55116;442065854;3
55.686655 37.621309;441822966;375
55.70421 37.621202;442281245;3
55.801364 37.477085;442316248;3
55.818291 37.708895;442294188;2
55.799482 37.460601;442264678;0
55.82706 37.557601;442065801;2
55.781914 37.602642;441993904;5
55.757597 37.608356;442330503;0
55.721508 37.775811;441893715;0
55.695758 37.565147;441962828;1
55.692044 37.555247;442331447;315
55.713212 37.589877;441782665;2
55.774137 37.597136;442334292;2
55.802255 37.462119;441779790;4
55.786419 37.634209;441846551;0
55.746578 37.585188;441857306;4
55.792999 37.460664;441966029;485
55.650383 37.537928;441799453;3
55.66369 37.544872;442285342;5
55.708663 37.576079;442286303;1
55.758595 37.64834;441826722;5
55.616381 37.76371;441768907;0
55.778067 37.730473;442053427;4
55.773894 37.595007;441857135;4
55.747044 37.591234;441909280;2
55.779044 37.605939;441960678;0
55.785665 37.48402;442158438;3
55.853602 37.606757;441971780;5
55.69731 37.532107;442246194;3
55.853602 37.606757;441976862;1
55.707491 37.60045;442348067;5
55.786419 37.634209;442323807;5
55.853976 37.569351;442063776;4
55.698954 37.566144;441846088;4
55.747044 37.591234;442076581;2
55.710398 37.590219;441958241;5
55.762667 37.635206;442018053;0
55.769347 37.567509;442007851;1
55.66369 37.544872;442002531;1
55.645862 37.508337;442339030;5
55.789806 37.480687;442338304;5
55.85869 37.640381;442299949;1
55.717847 37.512191;442049700;2
55.681767 37.516575;442251290;5
55.753311 37.580661;442043762;3
55.777545 37.698636;442282318;4
55.803413 37.706155;441841372;4
55.721508 37.775811;442181232;2
55.852435 37.536329;441971414;1
55.646828 37.508113;442354592;4
55.647737 37.669917;442274323;2
55.564246 37.599004;441845334;5
55.774775 37.54745;442296812;5
55.804314 37.706892;441994744;0
55.748599 37.661266;442349295;3
55.783084 37.60187;442161597;5
55.739123 37.622558;441813839;5
55.71625 37.694971;441936326;1
55.658743 37.541243;442197062;5
55.801263 37.586212;442246002;1
55.710398 37.590219;442206380;328
55.686289 37.552876;441916943;5
55.773894 37.595007;441811625;3
55.673661 37.552373;442345414;4
55.752151 37.648843;442159678;5
55.784708 37.628163;441974695;0
55.665919 37.439948;442307629;2
55.787371 37.62713;442155321;3
55.785392 37.628747;441868777;3
55.733827 37.569899;442242381;1
55.695403 37.567123;441872261;0
55.76562 37.649157;442144074;5
55.801379 37.474695;441908632;4
55.801263 37.586212;442256771;0
55.694769 37.564383;442108082;2
55.715302 37.696489;442305725;3
55.771813 37.575828;441913409;0
55.760201 37.712488;442214076;3
55.693145 37.546525;441861914;270
55.705458 37.550926;442019127;5
55.807041 37.660961;441901897;2
55.720773 37.777895;442018522;2
55.738475 37.624741;442006729;2
55.695403 37.567123;442151730;4
55.808756 37.533068;441822748;2
55.765458 37.796517;441847556;4
55.655097 37.533652;441820930;3
55.738475 37.624741;442194997;0
55.764577 37.710683;442357558;2
55.816303 37.574363;442189302;1
55.646472 37.509864;442061024;3
55.82706 37.557601;441973938;2
55.764642 37.677373;442172044;4
55.825532 37.503405;442196330;1
55.764131 37.631541;442292503;2
55.786733 37.626026;441874416;1
55.763847 37.646031;441818933;1
55.655097 37.533652;442253507;4
55.782537 37.604017;441942743;5
55.760864 37.712246;441845040;5
55.844753 37.500926;441765504;4
55.69449 37.567096;441845438;5
55.819287 37.604583;441902277;5
55.77797 37.631631;442004510;2
55.848069 37.379672;442170084;4
55.677443 37.569773;441955400;2
55.747024 37.665623;442127332;3
55.757121 37.378225;442260420;3
55.708694 37.751349;441815282;5
55.817588 37.789088;442308919;0
55.674813 37.567617;441955509;3
55.666431 37.575343;441772327;2
55.646472 37.509864;441841904;3
55.655097 37.533652;442179576;0
55.771591 37.665336;442095424;1
55.800726 37.554933;442018993;0
55.797321 37.453378;441919788;2
55.765974 37.684596;442298793;4
